ID,Meal Name,Meal Time,Diet,Ingredients ,Website ,Calories 
1,Vegan Protein Shake,Breakfast ,vegan ,"soy milk, peanut butter, bananas, cocoa powder, rolled oats, chia seeds, dates ",https://lovingitvegan.com/vegan-protein-shake/,279
2,"Fennel, Mango, and Avacado Smoothie",Breakfast ,vegan ,"avacado, frozen mango, fennel bulb, ginger, lime juice, mint leaves, coconut water ",https://golubkakitchen.com/hydrating-fennel-mango-and-avocado-smoothie/,425
3,Seriously Good Vegan Banana Muffins ,Breakfast ,vegan ,"oat milk, lemon juice, banana, oil, brown sugar, aquafaba, pure vanilla extract, all-purpose flour, sea salt, baking soda, cinnamon, nutmeg, walnuts, ground cinnamon",https://rainbowplantlife.com/vegan-banana-muffins/,330
4,Giant Brown Sugar Cinnamon Pop-Tart ,Breakfast ,"vegan, gluten-free","gluten-free all purpose flour, xanthan gum, granulated sugar, salt, vegan butter, water, brown sugar, ground cinnamon, vegan butter, molasses, powdered sugar, cinnamon, almond milk, vinalla extract ",https://www.adashofmegnut.com/giant-brown-sugar-cinnamon-pop-tart/#recipe,387
5,Savory Asparagus Galette with Vegan Ricotta,Dinner,vegan ,"all-purpose flour, cornmeal, sea salt, vegan butter, water, apple cider vinegar, black pepper, plant-based milk, asparagus, extra virgin olive oil, tofu, nutritional yeast, garlic cloves, miso paste, onion powder, kosher salt, basil leaves, dill, lemon zest, lemon juice, shelling peas, tarragon",https://rainbowplantlife.com/savory-asparagus-galette-with-vegan-ricotta/#wprm-recipe-container-6647,379
6,Vegan Banana Bread ,Breakfast ,vegan ,"oat milk, banana, lemon juice, aquafaba, sunflower oil, brown sugar, pure vanilla extract, all-purpose flour, sea salt, baking soda, ground cinnamon, nutmeg, dark chocolate chips, toasted walnuts, demerara sugar",https://rainbowplantlife.com/best-easy-vegan-banana-bread/,252
7,Vegan Apple Cinnamon Scones ,Breakfast ,vegan ,"flax meal, water, apple cider vinegar, vanilla extract, soy milk, all purpose flour, brown sugar, ground cinnamon, baking powder, salt, vegan butter, apples, icing sugar, soy milk,  ",https://thevietvegan.com/vegan-apple-cinnamon-scones/,200
8,The Best Dang Breakfast Cookies ,Breakfast ,vegan ,"flax meal, rolled oats, coconut, baking powder, baking soda, sea salt, almond butter, pure maple syrup, vanilla extract, cranberries, blueberries, sunflower seeds, nuts, hemp seeds ",https://rainbowplantlife.com/healthy-vegan-breakfast-cookies/,169
9,Peanut Butter Chocolate Chip Oatmeal Breakfast Bars,Breakfast ,vegan ,"rolled oats, coconut, vanilla extract, salt, baking powder, baking soda, flax, coconut oil, nut butter",https://beamingbaker.com/peanut-butter-chocolate-chip-oatmeal-breakfast-bars-vegan-gluten-free-dairy-free/#wprm-recipe-container-21311,300
10,Vegan Sausage,Breakfast ,vegan ,"quinoa, pinto beans, mushrooms, coconut aminos, raw pecans, sea salt, black pepper, garlic, thyme, rosemary, sage, paprika, fennel seeds, cayenne pepper, red pepper flake, date, oil ",https://minimalistbaker.com/easy-vegan-sausage-soy-gluten-free/#wprm-recipe-container-46547,280
11,Vegan Breakfast Burrito,Breakfast ,vegan ,"cashews, coconut yogurt, salsa, water, cumin, smoked paprika, black pepper, nutritional yeast, jalapenos, salt, tofu, ground tumeric, garlic powder, onion powder, paprika, chipoltle chile flakes, kala namak, tahini, oat milk, oil, potatoes, cornstarch, red onion, lime juice, tomatoes, garlic, cilantro ",https://rainbowplantlife.com/the-best-vegan-breakfast-burritos/,700
12,Vegan Pancakes ,Breakfast,vegan,"vegan sour cream, lemon juice, soy milk, all-purpose flour, baking powder, sea salt, can sugar, pure vanilla extract, vegan butter, coconut, maple syrup",https://rainbowplantlife.com/vegan-pancakes/#recipe,400
13,Vegan Apple Cinnamon French Toast Casserole,Breakfast,vegan ,"extra virgin olive oil, apple, maple syrup, cinnamon, french bread, oat milk, tofu, brown sugar, cinnamon, nutmeg, ginger, salt, vanilla extract, baking-powder, arrowroot powder, rolled oats, pecans, brown sugar, oil, non-dairy yogurt  ",https://rainbowplantlife.com/apple-cinnamon-french-toast/,431
14,Quinoa Porridge ,Breakfast,vegan,"quinoa, coconut milk, maple syrup, cinnamon, water, rasberries, mango, pecans",https://www.twospoons.ca/creamy-quinoa-porridge/,526
15,Peanut Butter and Jelly Overnight Oats,Breakfast,vegan ,"rolled oats, almond milk, peanut butter, chia seeds, vanilla protein powder, sea salt, strawberry jam, ",https://www.eatingbirdfood.com/peanut-butter-jelly-overnight-oats/,402
16,Vegan protein pancakes,Breakfast ,vegan ,"all-purpose flour, vegan protein powder, baking powder, salt, maple syrup, 1 cup water",https://runningonrealfood.com/fluffy-vegan-protein-pancakes-3/,590
17,"Tofu ""Egg"" Breakfast Sandwich",Breakfast ,vegan,"olive oil, tofu, soy sauce, garlic powder, tumeric, vegan mayonnaise, ketchup, hashbrowns, ciabatta roll, tomato, avocado",https://tasty.co/recipe/tofu-egg-breakfast-sandwich,500
18,Tofu Scramble Breakfast Burrito,Breakfast,vegan ,"yukon potatoes, olive oil, paprika, oregano, garlic powder, kosher salt, pepper, tofu, soy sauce, nutritional yeast, onion powder, tumeric, tomatoes, spinach, tortillas, avocado, hot sauce ",https://tasty.co/recipe/tofu-scramble-breakfast-burrito ,600
19,Peanut Butter Chia Overnight Oats,Breakfast,vegan ,"rolled oats, chia seeds, cinnamon, sea salt, vanilla almond milk, filtered water, vanilla, banana, PB fit powder or nut butter, maple syrup, optionally: cacao nibs, coconut flakes, almonds, coins, cinnamon",https://www.theglowingfridge.com/peanut-butter-chia-overnight-oats/,400
20,Hummus Toast ,Breakfast,vegan,"wheat bread, hummus, hemp seeds, unsalfted sunflower seeds ",https://minimalistbaker.com/15-vegan-protein-sources-easy-hummus-toast/,316
21,Chocolate Peanut Butter Smoothie Bowl,Breakfast,vegan ,"banana, almond milk, peanut butter, cacao powder, protein powder, maca powder, chia seeds, flax seeds, hemp seeds, peanut butter, chocolate granola",https://www.bakerita.com/chocolate-peanut-butter-smoothie-bowl/,485
22,Strawberry Coconut Smoothie,Breakfast,vegan,"strawberries, coconut milk, vanilla protein powder, honey, vanilla extract, ground flax seed",https://fitfoodiefinds.com/post-workout-strawberry-coconut-protein-smoothie//,271
23,Greek Chickpeas on Toast,Breakfast ,vegan,"olive oil, shallots, garlic cloves, smoked paprika, sweet paprika, cinnamon, salt, sugar, black pepper, tomato, chickpeas, bread, fresh parsley, dill, kalamata olives",https://www.lazycatkitchen.com/greek-chickpeas-on-toast/,480
24,Chickpea Avocado Toast ,Breakfast ,vegan ,"bread, avocado, chilli paste, radish sprouts, lime, lemon, salt and pepper, chickpeas, olive oil, cumin, paprika, chilli powder, salt",https://www.lazycatkitchen.com/vegan-avocado-toast/,727
25,Tofu Omelet,Breakfast ,vegan,"tofu, hummus, garlic, nutritional yeast, black pepper, paprika, cornstarch or arrowroot powder, veggies of choice",https://minimalistbaker.com/simple-vegan-omelet/,350
26,Tofu Salad Sandwich,Lunch,vegan ,"baked tofu bites, granny smith apple, walnuts or pecans, cranberries (dried), vegan mayonnaise, dijon mustard, 4 bagels",https://itdoesnttastelikechicken.com/hearty-vegan-tofu-salad-sandwich/ ,495
27,Ranch Chickpea Sandwich,Lunch,vegan ,"vegan mayonnaise, apple cider vinegar, dried parsley, dried chives, salt, dried dill, onion powder, garlic powder, chickpeas, celery, red onion, cilantro, lettuce, bread",https://itdoesnttastelikechicken.com/vegan-ranch-chickpea-sandwich/,478
28,Black Bean Pita Sandwich,Lunch,vegan,"olive oil, onion, garlic, black beans, chili powder, smoked paprika, cayenne, salt, vegan mayonnaise, lemon juice, garlic, cumin, pita, avocado, tomato, romaine lettuce, cucumber, red onion, banana pepper ",https://itdoesnttastelikechicken.com/vegan-spicy-black-bean-pita-sandwich/,492
29,Vegan Mozzarella Grilled Cheese,Lunch,vegan,"vegan butter, vegan mozzarella, bread, ketchup or siracha",https://itdoesnttastelikechicken.com/vegan-mozzarella-grilled-cheese/,349
